highway,geometry,historic,name,name:ca,wikidata,wikipedia,barrier,addr:city,addr:housename,addr:housenumber,addr:postcode,addr:street,entrance,man_made,material,date,wheelchair,fee,name:de,name:fr,name:it,name:ru,name:zh,tourism,description,height,operator,start_date,website,access,building:material,disused,building,military,reservation,ruins,bunker_type,name:es,opening_hours,phone,ele,architect:wikidata,architect:wikipedia,archaeological_site,megalith_type,site_type,source,amenity,bottle,image,image:0,image:1,name:en,historic:civilization,note,wikimedia_commons,level,nodes,surface,government,name:etymology:wikidata,architect,castle_type,contact:email,contact:fax,contact:phone,end_date,name:ko,old_name,area,name:ja,name:pl,addr:province,fee:conditional,alt_name,building:levels,building:levels:underground,designation,roof:orientation,roof:shape,opening_hours:url,stars,contact:website,layer,heritage,heritage:operator,name:he,ref:whc,whc:inscription_date,network,building:shape,building:height,protection_title,protection_title:category,ref:bic,brand,rooms,building:architecture,capacity,ref,bridge,wall,building:use,check_date,ref:ipac,disused:building,construction_year,year_of_construction,brand:wikidata,brand:wikipedia,min_height,ways,office,type,construction_date,building:part,artwork_type,building:colour,email,fixme,facebook,twitter,information
,"POLYGON ((2.1831743 41.38804, 2.1834395 41.38824, 2.1834197 41.388248, 2.1834049 41.3882592, 2.1834008 41.3882811, 2.1834083 41.3882929, 2.183418 41.3883039, 2.1834364 41.3883127, 2.1834629 41.388314, 2.1834836 41.388308, 2.1835018 41.3882983, 2.1835063 41.3882872, 2.1835113 41.3882743, 2.1835061 41.388261, 2.1836381 41.3881638, 2.1836505 41.3881706, 2.1837136 41.3881247, 2.1836523 41.3880736, 2.1836116 41.3881037, 2.183351 41.387906, 2.1833693 41.387893, 2.1833711 41.3878755, 2.1833644 41.3878598, 2.1833503 41.3878488, 2.1833298 41.3878419, 2.1833115 41.387839, 2.1832855 41.3878491, 2.1832714 41.3878705, 2.1832732 41.3878898, 2.183143 41.3879906, 2.1831291 41.3879819, 2.1829521 41.3881297, 2.1829111 41.3881457, 2.1829029 41.3881798, 2.1829265 41.3882027, 2.1829619 41.3882064, 2.1829871 41.3881952, 2.1829977 41.3881625, 2.1831115 41.3880726, 2.1831214 41.3880776, 2.1831743 41.38804))",castle,Castell dels Tres Dragons,Castell dels Tres Dragons,Q1048705,ca:Castell dels Tres Dragons,,Barcelona,,1,08003,Passeig de Picasso,,,,,,,Burg der drei Drachen,,,,三龍城堡,,,,,,,,,,yes,,,,,Castillo de los Tres Dragones,,,,,,,,,,,,,,,Castle of the Three Dragons,,,,,"[383464439, 383464442, 10830888488, 383464443, 10830888483, 383464445, 10830888484, 2239891036, 383464446, 10830888485, 10830888486, 383464448, 10830888487, 383464449, 383464451, 383464454, 383464455, 383464457, 383464466, 383464468, 2239891015, 383464470, 2239891009, 383464471, 2239891007, 383464473, 383464475, 2239891012, 383464477, 383464481, 383464483, 243047502, 2239891019, 2239891022, 2239891029, 253773690, 2239891027, 383464488, 383464490, 383464492, 383464439]",,,,Lluís Domènech i Montaner,defensive,museuciencies@bcn.cat,+34 933104999,+34 932562200,1888,세 마리 용의 성,Museu de Zoologia de Barcelona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.1720201 41.3843243, 2.1720777 41.3842192, 2.1721701 41.384124, 2.1723623 41.3842073, 2.1721489 41.3842984, 2.1721205 41.3843192, 2.1720892 41.3843495, 2.1720718 41.3843786, 2.1719828 41.3843465, 2.1719974 41.3843159, 2.1720201 41.3843243))",archaeological_site,Via Sepulcral Romana,,Q15136682,ca:Via sepulcral de la plaça de la Vila de Madrid,,,,,,Plaça de la Vila de Madrid,,,,,,,,Voie romaine sépulcrale,,,,attraction,,,,,,,,,,,,yes,,,"Tu 11:00-14:00; Su 11:00-15:00, 16:00-19:00",,,,,necropolis,,necropolis,,,,,,,MUHBA Via Sepulcral Romana,ancient_roman,,,,"[457758630, 3887644961, 457758631, 457758632, 1102146818, 457758629, 457758633, 3887644974, 3887644971, 3887644969, 457758630]",,,,,,,,,,,,yes,ローマ街道セパルクラル,Droga rzymska Sepulcral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.1647846 41.3631498, 2.1650092 41.36321, 2.1651676 41.3630034, 2.1653306 41.3627823, 2.1651682 41.362675, 2.165224 41.3624811, 2.1651854 41.3624413, 2.1652695 41.3622724, 2.1652787 41.3622532, 2.1667988 41.3630469, 2.1669164 41.3629671, 2.1676315 41.363177, 2.1676058 41.3631978, 2.1672301 41.3634917, 2.1670262 41.3634289, 2.1668396 41.3636671, 2.1668455 41.3636723, 2.1668307 41.3636908, 2.1668214 41.3637024, 2.1668112 41.3637164, 2.1667976 41.3637351, 2.1667885 41.3637323, 2.1666172 41.3639639, 2.1667978 41.3640645, 2.1666387 41.3645004, 2.1656826 41.3640779, 2.165666 41.364056, 2.165667 41.3640297, 2.1656809 41.3640111, 2.1657025 41.364, 2.1657289 41.3640001, 2.1658921 41.3640202, 2.1658975 41.3639702, 2.1658947 41.3639256, 2.1658943 41.3639197, 2.1658735 41.363866, 2.1658457 41.3638195, 2.1643574 41.3634481, 2.1643571 41.3634334, 2.1643637 41.3634206, 2.1643781 41.363421, 2.1647846 41.3631498))",castle,Castell de Montjuïc,Castell de Montjuïc,Q2500125,ca:Castell de Montjuïc,retaining_wall,Barcelona,,,08038,,,,,,,yes,,,,,,attraction,,9,,,http://ajuntament.barcelona.cat/castelldemontjuic/,,,,,,,,,,Nov 1-Feb 28 10:00-18:00; Mar 1-Oct 31 10:00-20:00,,,,,,,,,,,,,,Montjuïc Castle,,,,,"[771329476, 771329316, 771329546, 771329365, 771329449, 771329434, 771329459, 1912639181, 199129489, 199129487, 199129485, 199129483, 3952723991, 199129481, 199129479, 3890466827, 3890466829, 6237078594, 443071146, 6237078599, 3890466840, 3890466837, 199129477, 199129476, 199129473, 4227008091, 199129472, 771329393, 1912648425, 3890466878, 771329363, 771329533, 3890466871, 9203097615, 1912648424, 3890466855, 199129471, 199129468, 3890466776, 3890466770, 3890466771, 771329476]",,,,,,,,+34932564440,,,,,,,Barcelona,no @ (Su 15:00+; Su[1]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.1882141 41.4053022, 2.1882774 41.4052559, 2.1882436 41.4052298, 2.1882535 41.4052224, 2.1881924 41.4051757, 2.1881823 41.4051831, 2.1881289 41.4051427, 2.1880655 41.4051893, 2.1879631 41.4051114, 2.1878587 41.4051905, 2.1881466 41.4054107, 2.1882531 41.4053319, 2.1882141 41.4053022))",yes,Centre cultural La Farinera del Clot,Centre cultural La Farinera del Clot,Q19256811,ca:La Farinera del Clot,,Barcelona,,835,08018,Gran Via de les Corts Catalanes,,,,,,,,,,,,,,,,,https://farinera.org/,,,,industrial,,,,,,,+34 93 291 80 80,,,,,,,,,,,,,,,,,,"[7648836640, 7648844119, 7648836671, 7648844085, 7648844089, 7648844155, 7648836629, 7648836630, 7648836642, 1080616991, 1080616981, 1080616986, 7648836640]",,,,,,,,,,,,,,,,,La Farinera,6,1,Centre Civic La Farinera del Clot,along,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.1595798 41.3960598, 2.1596815 41.3959772, 2.1595514 41.3958893, 2.1595006 41.39593, 2.1594915 41.3959236, 2.1594871 41.3959213, 2.1594815 41.3959208, 2.1594755 41.395922, 2.1594473 41.3959454, 2.1594475 41.3959534, 2.15946 41.3959626, 2.1594517 41.3959692, 2.1594414 41.3959618, 2.1594391 41.3959557, 2.1593834 41.3959169, 2.1593795 41.3959156, 2.1593745 41.3959157, 2.159373 41.3959164, 2.159351 41.3959347, 2.1593441 41.3959321, 2.1592679 41.3959943, 2.1592651 41.3959925, 2.1592231 41.3960255, 2.1592252 41.3960275, 2.1591477 41.3960894, 2.159219 41.3961391, 2.1592217 41.3961378, 2.1592921 41.3961859, 2.1592896 41.396188, 2.1593586 41.3962396, 2.1595798 41.3960598))",castle,Palau Robert,Palau Robert,Q3750949,ca:Palau Robert,,Barcelona,,107,08008,Passeig de Gràcia,,,,,yes,no,,,,,,museum,,,,,http://palaurobert.gencat.cat/ca/inici/,,,,,,,,,,"Mo-Sa 10:00-20:00; Su,PH 10:00-14:30",,,,,,,,,,,,,,,,,,,"[6168885656, 6168886171, 1382915103, 6168885799, 6168885816, 6168885965, 6168885944, 6168886490, 6168885953, 6168886173, 6168885898, 6168886373, 1382915139, 1382915102, 1382915181, 6168886496, 6168885804, 1382915125, 6168886358, 6168886113, 6168886270, 6168886101, 6168886033, 6168886120, 1382915093, 6168886027, 6168885917, 6168885924, 6168885618, 1382915084, 6168885656]",,,,,palace,,,,,,,,,,,,,,,,,,http://palaurobert.gencat.cat/ca/contacte/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.174234 41.3751993, 2.174982 41.3749, 2.174981 41.3749161, 2.1750839 41.3749212, 2.1750849 41.3748989, 2.1754464 41.374921, 2.1756776 41.3749299, 2.1760965 41.3747749, 2.1760869 41.3747607, 2.1757315 41.374883, 2.175713 41.3748533, 2.1756513 41.3748755, 2.1756779 41.3749149, 2.1750863 41.3748851, 2.1750889 41.3748604, 2.1750745 41.3748615, 2.1750099 41.3748569, 2.1749859 41.3748564, 2.1749852 41.3748768, 2.1742824 41.3748977, 2.1741297 41.3748893, 2.174013 41.374885, 2.1736276 41.3748701, 2.1736195 41.3748747, 2.1736206 41.3748823, 2.174234 41.3751993))",citywalls,,,,,city_wall,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,"[1401743883, 1401743881, 3865124115, 1401743882, 1401650563, 1401743880, 1401743879, 1401743859, 1401730610, 1401743868, 1401743862, 1401743865, 1401743874, 1401743872, 1401743867, 1401743866, 1401743864, 1401743863, 1401743873, 1401743878, 1401743875, 1401743871, 1401743870, 3921051362, 1401743877, 1401743883]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.1714813 41.382839, 2.1715273 41.3828563, 2.171531 41.3828561, 2.1715333 41.3828553, 2.1715351 41.382854, 2.1715796 41.3828037, 2.1716243 41.3827532, 2.1716016 41.3827433, 2.1715465 41.3827195, 2.1715339 41.382714, 2.1714632 41.3826828, 2.1714329 41.3827153, 2.1714378 41.3827179, 2.1714335 41.3827228, 2.1714231 41.3827353, 2.1713953 41.3827683, 2.1713821 41.382784, 2.1713805 41.382786, 2.1713711 41.3827975, 2.1714813 41.382839))",building,Hotel Bagués,,Q111389531,,,,,105,,La Rambla,,,,,yes,,,,,,,hotel,the former headquarters of the Bagués-Masriera jeweller; a small museum on the first floor exhibits jewellery from the original Bagués-Masriera collection.,,,,https://www.hotelbagues.com,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,"[7284578698, 7284579154, 7284578659, 7284578580, 7284578827, 7263249182, 7284578393, 7284569869, 7284579138, 7284579245, 7284578581, 7284578525, 7284579064, 7284578739, 7284578387, 7284578939, 7284578660, 7284578729, 7284578544, 7284578698]",,,,,,,,,,,,,,,,,,8,2,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.153517 41.3995456, 2.1530708 41.3999227, 2.1534544 41.4001796, 2.1539001 41.3998019, 2.1537356 41.3996919, 2.153517 41.3995456))",yes,Mercat de la Llibertat,Mercat de la Llibertat,Q11936534,ca:Mercat de la Llibertat,,,,,,,,,,,,,,,,,,,,,,,,,,,retail,,,,,,,,,,,,,,,marketplace,,,,,,,,,,"[1457780196, 6167877259, 6167877260, 1457780024, 6167877258, 1457780196]",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.158216 41.3983353, 2.1583335 41.398399, 2.1584596 41.3982679, 2.1585348 41.3981897, 2.1584431 41.39814, 2.1582925 41.3982965, 2.1582668 41.3982825, 2.1582207 41.3982575, 2.1582453 41.3982319, 2.1582574 41.3982385, 2.1582703 41.3982296, 2.1582795 41.3982184, 2.1582823 41.3982126, 2.1582702 41.3982061, 2.1583183 41.3981561, 2.1583304 41.3981627, 2.1583433 41.3981537, 2.1583525 41.3981425, 2.1583553 41.3981368, 2.1583432 41.3981302, 2.1583674 41.3981051, 2.1583017 41.3980718, 2.1582755 41.3980585, 2.1581529 41.3979952, 2.1581203 41.3980023, 2.1580111 41.3979736, 2.1579053 41.3979459, 2.1578922 41.3979436, 2.1578779 41.3979429, 2.1578617 41.3979444, 2.157847 41.3979481, 2.1578305 41.3979548, 2.1578171 41.3979629, 2.1577358 41.3980328, 2.1577212 41.3980453, 2.1577139 41.3980551, 2.1577142 41.3980606, 2.1577158 41.398065, 2.1577204 41.3980683, 2.158216 41.3983353))",building,Hotel Casa Fuster,Hotel Casa Fuster,Q2518066,ca:Casa Fuster,,,,132,08008,Pg. de Gràcia,,,,,,,,,,,,hotel,,,,,http://www.hotelcasafuster.com,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,"[6167979517, 6167979553, 6167979599, 6167979607, 6167979595, 6167979623, 6167979636, 1457931693, 6167979562, 6167979506, 6167979556, 6167979597, 6167979668, 6167979513, 6167979618, 6167979605, 6167979528, 6167979564, 6167979559, 6167979655, 6167979640, 6167979516, 6167979585, 6167979510, 1457931524, 5270864390, 1457931559, 1457931583, 6167979581, 1457931529, 1457931553, 6167979644, 1457931572, 6167979601, 6167979526, 6167979533, 1457931600, 1457931509, 1457931706, 6167979517]",,,,,,casafuster@hotelescenter.es,,+34 932553000,,,,,,,,,,6,1,,,,,5,http://www.hotelcasafuster.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.152033 41.3706424, 2.1520333 41.3706391, 2.1520349 41.3706361, 2.1520378 41.3706336, 2.1520416 41.3706319, 2.1520459 41.3706312, 2.1520502 41.3706317, 2.1520542 41.3706331, 2.1520573 41.3706354, 2.1520592 41.3706383, 2.1520598 41.3706416, 2.152059 41.3706449, 2.1520567 41.3706478, 2.1520533 41.37065, 2.1520492 41.3706512, 2.1520447 41.3706513, 2.1520404 41.3706504, 2.1520368 41.3706484, 2.1520342 41.3706456, 2.152033 41.3706424))",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,"[1484826381, 1484826384, 1484826374, 1484826391, 1484826432, 1484826398, 1484826365, 1484826394, 1484826424, 3621498896, 1484826370, 1484826400, 1484826377, 1484826396, 1484826386, 1484826426, 1484826416, 1484826380, 1484826408, 1484826381]",,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.1521584 41.3706912, 2.1521587 41.370688, 2.1521603 41.370685, 2.1521632 41.3706827, 2.1521669 41.3706811, 2.1521711 41.3706805, 2.1521753 41.3706809, 2.1521791 41.3706823, 2.1521821 41.3706846, 2.152184 41.3706874, 2.1521846 41.3706906, 2.1521837 41.3706938, 2.1521815 41.3706967, 2.1521782 41.3706988, 2.152174 41.3707, 2.1521696 41.3707001, 2.1521654 41.3706991, 2.1521619 41.3706971, 2.1521595 41.3706944, 2.1521584 41.3706912))",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,"[1484826383, 1484826411, 1484826405, 1484826368, 1484826433, 1484826375, 1484826418, 1484826414, 1484826364, 3621498898, 1484826425, 1484826382, 1484826431, 1484826395, 1484826390, 1484826385, 1484826412, 1484826393, 1484826373, 1484826383]",,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.1520957 41.3706673, 2.1520959 41.3706639, 2.1520975 41.3706608, 2.1521004 41.3706582, 2.1521042 41.3706565, 2.1521086 41.3706558, 2.152113 41.3706562, 2.152117 41.3706576, 2.1521202 41.37066, 2.1521222 41.370663, 2.1521229 41.3706663, 2.152122 41.3706696, 2.1521197 41.3706726, 2.1521163 41.3706748, 2.1521121 41.370676, 2.1521076 41.3706762, 2.1521033 41.3706752, 2.1520996 41.3706733, 2.152097 41.3706705, 2.1520957 41.3706673))",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,"[1484826401, 1484826421, 1484826407, 1484826403, 1484826427, 1484826399, 1484826387, 1484826422, 1484826402, 3621498897, 1484826406, 1484826378, 1484826404, 1484826366, 1484826419, 1484826420, 1484826367, 1484826389, 1484826429, 1484826401]",,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.1519696 41.3706201, 2.1519697 41.3706168, 2.1519712 41.3706138, 2.1519739 41.3706113, 2.1519776 41.3706096, 2.1519819 41.3706089, 2.1519862 41.3706092, 2.1519901 41.3706106, 2.1519932 41.3706129, 2.1519951 41.3706158, 2.1519957 41.370619, 2.1519949 41.3706222, 2.1519927 41.370625, 2.1519894 41.3706271, 2.1519855 41.3706283, 2.1519811 41.3706285, 2.151977 41.3706276, 2.1519734 41.3706258, 2.1519709 41.3706232, 2.1519696 41.3706201))",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,"[1484826369, 1484826397, 1484826413, 1484826392, 1484826423, 1484826363, 1484826388, 1484826415, 1484826409, 3621498895, 1484826410, 1484826428, 1484826371, 1484826372, 1484826417, 1484826376, 1484826379, 1484826430, 1484826362, 1484826369]",,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.1622019 41.4195882, 2.1621481 41.4196682, 2.1620254 41.4196156, 2.1620024 41.4196338, 2.1619741 41.4196358, 2.1619431 41.4196247, 2.1618832 41.4196231, 2.161824 41.4196064, 2.1616329 41.4195346, 2.1615343 41.4194938, 2.1614471 41.4194142, 2.1613839 41.4193318, 2.1613195 41.4192826, 2.1612815 41.4192309, 2.1613225 41.4191667, 2.1613544 41.4191361, 2.1614241 41.4191411, 2.1615877 41.4191451, 2.1616674 41.4191414, 2.1616995 41.4191455, 2.1617459 41.4192035, 2.1619096 41.4192719, 2.1619444 41.419304, 2.1619383 41.4193426, 2.1619686 41.4193704, 2.1619283 41.4194288, 2.1620195 41.4194911, 2.1622019 41.4195882))",fort,Bateria antiaèria republicana del Turó de la Rovira,Bateria antiaèria republicana del Turó de la Rovira,Q99463635,,,,,,,,,,,,,,,,,,,,,,,,,,,,bunker,,,yes,,Batería antiaérea republicana del Turó de la Rovira,,,,,,,,,,,,,,,,,,,,"[1563547333, 1863716152, 1863716145, 1863716147, 1863716148, 1863716146, 1563547324, 1563547341, 1563547326, 1563547306, 1563547308, 1563547337, 1563547309, 1563547323, 1563547304, 1863716141, 1563547305, 1563547300, 1563547328, 1563547318, 1563547312, 1563547307, 1563547343, 1563547346, 1563547322, 1563547319, 1563547301, 1563547333]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.1907459 41.3882987, 2.1906861 41.3882549, 2.1907228 41.3882268, 2.1906672 41.388186, 2.1908335 41.3880584, 2.1908958 41.3881041, 2.1909466 41.3880651, 2.190962 41.3880764, 2.1910032 41.3881067, 2.1909484 41.3881488, 2.1909744 41.3881679, 2.1907976 41.3883035, 2.190768 41.3882818, 2.1907459 41.3882987))",building,Casa dels Lleons,,Q104846013,ca:Casa dels Lleons,,Barcelona,,,,,,,,,,,,,,,,,,,Zoo de Barcelona,1894,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,"[1596104155, 1596104157, 1596104158, 1596104159, 1596104160, 1596104161, 1596104162, 10221745624, 1596104163, 1596104165, 1596104167, 1596104170, 1596104178, 1596104155]",,,,Pere Falqués i Urpí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.1743795 41.3788779, 2.1743831 41.3788671, 2.1744284 41.3788419, 2.1743779 41.3787886, 2.174332 41.3787405, 2.1742775 41.37877, 2.1742458 41.3787366, 2.1743003 41.3787071, 2.1742957 41.3787022, 2.1742814 41.3786872, 2.1742475 41.3786514, 2.1742267 41.3786631, 2.1741925 41.3786824, 2.1741961 41.3786862, 2.1742139 41.3787046, 2.1741723 41.3787291, 2.1741656 41.3787331, 2.1741441 41.3787456, 2.1741086 41.3787664, 2.1740491 41.3788014, 2.1740391 41.3788073, 2.1741342 41.3788996, 2.1742111 41.3789741, 2.1743795 41.3788779))",castle,Palau Güell,Palau Güell,Q597051,ca:Palau Güell,,Barcelona,,3-5,08001,Carrer Nou de la Rambla,,,,,,yes,,,,Дворец Гуэля,奎爾宮,attraction,,,,,https://inici.palauguell.cat/,,,,palace,,,,,Palacio Güell,Apr-Oct 10:00-20:00; Nov-Mar 10:00-17:30,,,,,,,,,,,,,,,,,,,"[7181846266, 7181846472, 7181846792, 7181846458, 7181789083, 7181846189, 7181846340, 7181846256, 7181846808, 7181789049, 7181846220, 7181846421, 7181846397, 7181846659, 7181789078, 7181789066, 7181846755, 7181846570, 7181789080, 7181846610, 7181846733, 7181846547, 7181789056, 7181846266]",,,,Antoni Gaudí,palace,,,,,구엘 궁전,,,,,,"no @ (Su[1]; May 21,Apr 23,Sep 11,Sep 24)",,5,1,,,,,,,,1,whc,פלאו גואל,320-002,1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.1789441 41.3815473, 2.1789884 41.3815877, 2.1790148 41.3816119, 2.1790441 41.3816386, 2.1791425 41.3817217, 2.17928 41.3818312, 2.179247 41.3818545, 2.1791657 41.3818979, 2.1792042 41.3819396, 2.1792177 41.381955, 2.1792509 41.381935, 2.179306 41.3819017, 2.1793256 41.3818881, 2.1793241 41.3818857, 2.1793617 41.3818602, 2.1793791 41.3818484, 2.1793894 41.3818414, 2.1793958 41.381837, 2.1794085 41.3818284, 2.1794237 41.3818181, 2.1793902 41.38179, 2.1794223 41.3817687, 2.1793008 41.3816691, 2.1793289 41.3816498, 2.1792838 41.3816124, 2.179256 41.3816315, 2.1792279 41.3816126, 2.1791955 41.38159, 2.1791756 41.3815758, 2.1791479 41.3815561, 2.1791165 41.3815773, 2.1791094 41.3815709, 2.1790936 41.3815565, 2.1790781 41.3815424, 2.1790739 41.3815199, 2.1790683 41.3815137, 2.1790471 41.3814935, 2.178997 41.3815197, 2.1789441 41.3815473))",archaeological_site,Centre Cívic Pati Llimona,Centre Cívic Pati Llimona,Q28711832,ca:Pati Llimona,,,,2,08002,Passatge Sant Simplici,,,,,,,,,,,,,,,,,,,,,public,,,,,,,,,,,,,,,social_centre,,,,,,,,,,"[1780155359, 3950932550, 6121718724, 6121720233, 2457878237, 2457878236, 5319225748, 1780155368, 6121718765, 1780155370, 6121720503, 6121720506, 6121719446, 6121720505, 6121717727, 6121720325, 1780155365, 6121720263, 6121720527, 1780155363, 3950932553, 1780155361, 4029816839, 4029816838, 4029816836, 6121720216, 4029816835, 6121720285, 6121720322, 2264399505, 4029816832, 6121718769, 6121720193, 4029816830, 2264399496, 6121720255, 1780155358, 6121718723, 1780155359]",,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.1763903 41.4513562, 2.1763396 41.4513264, 2.1763463 41.4513199, 2.176329 41.4513097, 2.1763031 41.4512945, 2.1762704 41.4513258, 2.1762379 41.4513066, 2.1762081 41.4513351, 2.1762404 41.4513541, 2.1762086 41.4513845, 2.1762512 41.4514096, 2.1762559 41.4514051, 2.1763033 41.4514329, 2.1763506 41.4513877, 2.1763548 41.4513901, 2.1763903 41.4513562))",castle,la Torre del Baró,la Torre del Baró,Q11913109,ca:Torre del Baró,,,,,,,,,,,limited,,,,,,,,,,,,https://www.parcnaturalcollserola.cat/pages/torre-baro,,,,yes,,,,,,"Mo-Fr 10:00-13:00; Sa 10:00-14:00,17:00-20:00; Su 10:00-14:00",,,,,,,,,,,,,,,,,,,"[1853174697, 6213878919, 2249980239, 8357571027, 1853174801, 2249980258, 2249980252, 1853174661, 6213878921, 2249980301, 6213878916, 6213878917, 6213878920, 4678699813, 6213878918, 1853174697]",,,,,stately,,,,,,,,,,,,Castell de Torre del Baró,,,,,,,,,,,,,,,MUHBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.1400672 41.377733, 2.1400467 41.3777237, 2.1400228 41.3777242, 2.1400031 41.3777344, 2.1399938 41.3777509, 2.1399978 41.3777686, 2.140014 41.3777818, 2.1400371 41.3777863, 2.1400599 41.3777808, 2.140075 41.3777669, 2.1400777 41.3777491, 2.1400672 41.377733))",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,"[1884198966, 1884198962, 1884198964, 1884198969, 1884198979, 1884198985, 1884198989, 1884198993, 1884198987, 1884198983, 1884198980, 1884198966]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.1623715 41.3607156, 2.1623899 41.3607287, 2.1624179 41.3607401, 2.1624556 41.3607554, 2.1624814 41.3607659, 2.1625171 41.3607804, 2.1625431 41.3607909, 2.1625642 41.3607994, 2.1625691 41.3608015, 2.1625925 41.3607807, 2.1627671 41.3606256, 2.1627786 41.3606148, 2.1621692 41.3602373, 2.1621581 41.3602377, 2.1621528 41.3602482, 2.1621615 41.3602554, 2.1622853 41.3605267, 2.1622959 41.36055, 2.1623115 41.3605841, 2.1623216 41.3606062, 2.1623715 41.3607156))",yes,,,,,retaining_wall,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,"[1912182336, 3952723971, 3952723974, 3952723975, 3952723978, 3952723979, 3952723981, 1912648376, 1912182337, 3952723980, 1912639157, 1912182334, 1912182330, 3952723856, 3952723957, 1912182332, 3952723961, 3952723963, 3952723965, 3952723967, 1912182336]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.1652787 41.3622532, 2.1652695 41.3622724, 2.1651161 41.3621586, 2.164678 41.3618337, 2.1645646 41.3619155, 2.1634486 41.3611577, 2.1633996 41.3611194, 2.1627671 41.3606256, 2.1627786 41.3606148, 2.1632303 41.3609711, 2.1645494 41.3618914, 2.164676 41.3617858, 2.1652787 41.3622532))",yes,,,,,retaining_wall,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,"[199129489, 1912639181, 9202844841, 1912639172, 1912639174, 1912648381, 1912648380, 1912639157, 1912182334, 4227007465, 1912639173, 1912639167, 199129489]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
